site,plot_id,gen_sp,common_nNL,cover,latitude,longitude,
Willinks Weust,WW_B_R_05,Dactylorhiza_maculata,,+,,,
Willinks Weust,WW_B_R_05,Equisetum_arvense,,+,,,
Willinks Weust,WW_B_R_05,Lysimachia_vulgaris,,2a,,,
Willinks Weust,WW_B_R_05,Quercus_robur,,r,,,
Willinks Weust,WW_B_R_05,Luzula_multiflora,,+,,,
Willinks Weust,WW_B_R_05,Danthonia_decumbens,,+,,,
Willinks Weust,WW_B_R_05,Agrostis_stolonifera,,2m,,,
Willinks Weust,WW_B_R_05,Molinia_caerulea,,3,,,
Willinks Weust,WW_B_R_05,Gentiana_pneumonanthe,,+,,,
Bennekomse Meent,BM_B_R_01,Carex_panicea,,2a,,,
Bennekomse Meent,BM_B_R_01,Holcus_lanatus,,+,,,
Bennekomse Meent,BM_B_R_01,Lotus_pedunculatus,,1,,,
Bennekomse Meent,BM_B_R_01,Succisa_pratensis,,2a,,,
Bennekomse Meent,BM_B_R_01,Galium_palustre,,+,,,
Bennekomse Meent,BM_B_R_01,Anthoxanthum_odoratum,,1,,,
Bennekomse Meent,BM_B_R_01,Cirsium_dissectum,,r,,,
Bennekomse Meent,BM_B_R_01,Juncus_effusus,,+,,,
Bennekomse Meent,BM_B_R_01,Prunella_vulgaris,,+,,,
Bennekomse Meent,BM_B_R_01,Filipendula_ulmaria,,+,,,
Bennekomse Meent,BM_B_R_01,Potentilla_erecta,,2a,,,
Bennekomse Meent,BM_B_R_01,Carex_demissa,,2b,,,
Bennekomse Meent,BM_B_R_01,Cirsium_palustre,,+,,,
Bennekomse Meent,BM_B_R_01,Juncus_acutiflorus,,3,,,
Bennekomse Meent,BM_B_R_01,Carex_pulicaris,,+,,,
Bennekomse Meent,BM_B_R_01,Equisetum_palustre,,1,,,
Bennekomse Meent,BM_B_R_01,Ranunculus_flammula,,+,,,
Bennekomse Meent,BM_B_R_01,Lysimachia_vulgaris,,+,,,
Bennekomse Meent,BM_B_R_01,Centaurea_jacea,,+,,,
Bennekomse Meent,BM_B_R_01,Agrostis_stolonifera,,2m,,,
Bennekomse Meent,BM_B_R_01,Molinia_caerulea,,3,,,
Bennekomse Meent,BM_B_R_01,Thalictrum_flavum,,r,,,
Bennekomse Meent,BM_B_R_02,Carex_panicea,,+,,,
Bennekomse Meent,BM_B_R_02,Holcus_lanatus,,1,,,
Bennekomse Meent,BM_B_R_02,Succisa_pratensis,,1,,,
Bennekomse Meent,BM_B_R_02,Anthoxanthum_odoratum,,2m,,,
Bennekomse Meent,BM_B_R_02,Prunella_vulgaris,,+,,,
Bennekomse Meent,BM_B_R_02,Filipendula_ulmaria,,+,,,
Bennekomse Meent,BM_B_R_02,Potentilla_erecta,,1,,,
Bennekomse Meent,BM_B_R_02,Cirsium_palustre,,+,,,
Bennekomse Meent,BM_B_R_02,Juncus_acutiflorus,,+,,,
Bennekomse Meent,BM_B_R_02,Carex_pulicaris,,1,,,
Bennekomse Meent,BM_B_R_02,Equisetum_palustre,,+,,,
Bennekomse Meent,BM_B_R_02,Lysimachia_vulgaris,,1,,,
Bennekomse Meent,BM_B_R_02,Centaurea_jacea,,+,,,
Bennekomse Meent,BM_B_R_02,Carex_hostiana,,3,,,
Bennekomse Meent,BM_B_R_02,Agrostis_stolonifera,,2m,,,
Bennekomse Meent,BM_B_R_02,Molinia_caerulea,,3,,,
Bennekomse Meent,BM_B_R_02,Gentiana_pneumonanthe,,+,,,
Bennekomse Meent,BM_B_R_02,Valeriana_dioica,,1,,,
Bennekomse Meent,BM_B_R_02,Iris_pseudacorus,,r,,,
Bennekomse Meent,BM_B_R_02,Mentha_arvensis,,+,,,
Bennekomse Meent,BM_B_R_02,Thalictrum_flavum,,+,,,
Bennekomse Meent,BM_B_R_02,Galium_uliginosum,,1,,,
Bennekomse Meent,BM_B_R_02,Valeriana_officinalis,,+,,,
Bennekomse Meent,BM_B_R_03,Carex_panicea,,2a,,,
Bennekomse Meent,BM_B_R_03,Eriophorum_angustifolium,,2a,,,
Bennekomse Meent,BM_B_R_03,Juncus_articulatus,,+,,,
Bennekomse Meent,BM_B_R_03,Succisa_pratensis,,+,,,
Bennekomse Meent,BM_B_R_03,Galium_palustre,,+,,,
Bennekomse Meent,BM_B_R_03,Anthoxanthum_odoratum,,2m,,,
Bennekomse Meent,BM_B_R_03,Cirsium_dissectum,,r,,,
Bennekomse Meent,BM_B_R_03,Prunella_vulgaris,,+,,,
Bennekomse Meent,BM_B_R_03,Filipendula_ulmaria,,+,,,
Bennekomse Meent,BM_B_R_03,Potentilla_erecta,,+,,,
Bennekomse Meent,BM_B_R_03,Cirsium_palustre,,+,,,
Bennekomse Meent,BM_B_R_03,Hydrocotyle_vulgaris,,1,,,
Bennekomse Meent,BM_B_R_03,Carex_pulicaris,,1,,,
Bennekomse Meent,BM_B_R_03,Equisetum_palustre,,1,,,
Bennekomse Meent,BM_B_R_03,Centaurea_jacea,,+,,,
Bennekomse Meent,BM_B_R_03,Carex_hostiana,,3,,,
Bennekomse Meent,BM_B_R_03,Agrostis_stolonifera,,2m,,,
Bennekomse Meent,BM_B_R_03,Molinia_caerulea,,3,,,
Bennekomse Meent,BM_B_R_03,Gentiana_pneumonanthe,,+,,,
Bennekomse Meent,BM_B_R_03,Valeriana_dioica,,+,,,
Bennekomse Meent,BM_B_R_03,Thalictrum_flavum,,+,,,
Bennekomse Meent,BM_B_R_03,Galium_uliginosum,,1,,,
Bennekomse Meent,BM_B_R_03,Potentilla_anglica,,+,,,
Bennekomse Meent,BM_B_R_04,Carex_panicea,,2a,,,
Bennekomse Meent,BM_B_R_04,Lotus_pedunculatus,,+,,,
Bennekomse Meent,BM_B_R_04,Succisa_pratensis,,2a,,,
Bennekomse Meent,BM_B_R_04,Galium_palustre,,1,,,
Bennekomse Meent,BM_B_R_04,Anthoxanthum_odoratum,,2m,,,
Bennekomse Meent,BM_B_R_04,Prunella_vulgaris,,1,,,
Bennekomse Meent,BM_B_R_04,Filipendula_ulmaria,,1,,,
Bennekomse Meent,BM_B_R_04,Lythrum_salicaria,,+,,,
Bennekomse Meent,BM_B_R_04,Luzula_campestris,,+,,,
Bennekomse Meent,BM_B_R_04,Potentilla_erecta,,+,,,
Bennekomse Meent,BM_B_R_04,Hydrocotyle_vulgaris,,2m,,,
Bennekomse Meent,BM_B_R_04,Mentha_aquatica,,+,,,
Bennekomse Meent,BM_B_R_04,Carex_pulicaris,,2a,,,
Bennekomse Meent,BM_B_R_04,Equisetum_palustre,,1,,,
Bennekomse Meent,BM_B_R_04,Centaurea_jacea,,+,,,
Bennekomse Meent,BM_B_R_04,Carex_hostiana,,2b,,,
Bennekomse Meent,BM_B_R_04,Danthonia_decumbens,,+,,,
Bennekomse Meent,BM_B_R_04,Agrostis_stolonifera,,2m,,,
Bennekomse Meent,BM_B_R_04,Molinia_caerulea,,3,,,
Bennekomse Meent,BM_B_R_04,Valeriana_dioica,,1,,,
Bennekomse Meent,BM_B_R_04,Thalictrum_flavum,,+,,,
Bennekomse Meent,BM_B_R_04,Galium_uliginosum,,1,,,
Bennekomse Meent,BM_B_R_04,Jacobaea_paludosa,,+,,,
Bennekomse Meent,BM_B_R_05,Carex_panicea,,2a,,,
Bennekomse Meent,BM_B_R_05,Eriophorum_angustifolium,,2a,,,
Bennekomse Meent,BM_B_R_05,Salix_cinerea,,+,,,
Bennekomse Meent,BM_B_R_05,Succisa_pratensis,,2a,,,
Bennekomse Meent,BM_B_R_05,Galium_palustre,,+,,,
Bennekomse Meent,BM_B_R_05,Cirsium_dissectum,,2b,,,
Bennekomse Meent,BM_B_R_05,Hypochaeris_radicata,,r,,,
Bennekomse Meent,BM_B_R_05,Juncus_effusus,,+,,,
Bennekomse Meent,BM_B_R_05,Potentilla_erecta,,+,,,
Bennekomse Meent,BM_B_R_05,Juncus_acutiflorus,,2b,,,
Bennekomse Meent,BM_B_R_05,Phragmites_australis,,+,,,
Bennekomse Meent,BM_B_R_05,Carex_pulicaris,,1,,,
Bennekomse Meent,BM_B_R_05,Lysimachia_vulgaris,,1,,,
Bennekomse Meent,BM_B_R_05,Carex_hostiana,,3,,,
Bennekomse Meent,BM_B_R_05,Danthonia_decumbens,,+,,,
Bennekomse Meent,BM_B_R_05,Agrostis_stolonifera,,2m,,,
Bennekomse Meent,BM_B_R_05,Molinia_caerulea,,3,,,
Bennekomse Meent,BM_B_R_05,Gentiana_pneumonanthe,,+,,,
Reijerskamp,RK_H_TG_01,Holcus_lanatus,,+,,,
Reijerskamp,RK_H_TG_01,Trifolium_repens,,1,,,
Reijerskamp,RK_H_TG_01,Anthoxanthum_odoratum,,2m,,,
Reijerskamp,RK_H_TG_01,Betula_pubescens,,r,,,
Reijerskamp,RK_H_TG_01,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_TG_01,Betula_pendula,,r,,,
Reijerskamp,RK_H_TG_01,Agrostis_capillaris,,2m,,,
Reijerskamp,RK_H_TG_01,Calluna_vulgaris,,2a,,,
Reijerskamp,RK_H_TG_01,Hypericum_perforatum,,2b,,,
Reijerskamp,RK_H_TG_01,Filago_minima,,+,,,
Reijerskamp,RK_H_TG_01,Rumex_acetosella,,1,,,
Reijerskamp,RK_H_TG_01,Aira_caryophyllea,,2m,,,
Reijerskamp,RK_H_TG_01,Cerastium_semidecandrum,,r,,,
Reijerskamp,RK_H_TG_01,Plantago_lanceolata,,1,,,
Reijerskamp,RK_H_TG_01,Hieracium_pilosella,,2b,,,
Reijerskamp,RK_H_TG_01,Trifolium_arvense,,2b,,,
Reijerskamp,RK_H_TG_01,Leucanthemum_vulgare,,r,,,
Reijerskamp,RK_H_TG_01,Jasione_montana,,1,,,
Reijerskamp,RK_H_TG_01,Leontodon_saxatilis,,+,,,
Reijerskamp,RK_H_TG_01,Trifolium_campestre,,+,,,
Reijerskamp,RK_H_TG_01,Vulpia_myuros,,1,,,
Reijerskamp,RK_H_TG_01,Senecio_inaequidens,,+,,,
Reijerskamp,RK_H_TG_02,Anthoxanthum_odoratum,,+,,,
Reijerskamp,RK_H_TG_02,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_TG_02,Betula_pendula,,+,,,
Reijerskamp,RK_H_TG_02,Luzula_campestris,,+,,,
Reijerskamp,RK_H_TG_02,Cerastium_fontanum,,1,,,
Reijerskamp,RK_H_TG_02,Agrostis_capillaris,,2a,,,
Reijerskamp,RK_H_TG_02,Corynephorus_canescens,,2a,,,
Reijerskamp,RK_H_TG_02,Hypericum_perforatum,,+,,,
Reijerskamp,RK_H_TG_02,Filago_minima,,1,,,
Reijerskamp,RK_H_TG_02,Rumex_acetosella,,2a,,,
Reijerskamp,RK_H_TG_02,Aira_caryophyllea,,2a,,,
Reijerskamp,RK_H_TG_02,Ornithopus_perpusillus,,+,,,
Reijerskamp,RK_H_TG_02,Plantago_lanceolata,,+,,,
Reijerskamp,RK_H_TG_02,Hieracium_pilosella,,2a,,,
Reijerskamp,RK_H_TG_02,Achillea_millefolium,,+,,,
Reijerskamp,RK_H_TG_02,Trifolium_arvense,,2a,,,
Reijerskamp,RK_H_TG_02,Jasione_montana,,+,,,
Reijerskamp,RK_H_TG_02,Senecio_inaequidens,,+,,,
Reijerskamp,RK_H_TG_03,Trifolium_dubium,,+,,,
Reijerskamp,RK_H_TG_03,Anthoxanthum_odoratum,,1,,,
Reijerskamp,RK_H_TG_03,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_TG_03,Betula_pendula,,+,,,
Reijerskamp,RK_H_TG_03,Luzula_campestris,,+,,,
Reijerskamp,RK_H_TG_03,Corynephorus_canescens,,2a,,,
Reijerskamp,RK_H_TG_03,Hypericum_perforatum,,+,,,
Reijerskamp,RK_H_TG_03,Filago_minima,,1,,,
Reijerskamp,RK_H_TG_03,Pinus_sylvestris,,3,,,
Reijerskamp,RK_H_TG_03,Rumex_acetosella,,+,,,
Reijerskamp,RK_H_TG_03,Aira_caryophyllea,,2a,,,
Reijerskamp,RK_H_TG_03,Ornithopus_perpusillus,,+,,,
Reijerskamp,RK_H_TG_03,Cerastium_semidecandrum,,+,,,
Reijerskamp,RK_H_TG_03,Hieracium_pilosella,,1,,,
Reijerskamp,RK_H_TG_03,Jasione_montana,,+,,,
Reijerskamp,RK_H_TG_03,Vulpia_myuros,,+,,,
Reijerskamp,RK_H_TG_03,Senecio_inaequidens,,+,,,
Reijerskamp,RK_H_TG_04,Anthoxanthum_odoratum,,2a,,,
Reijerskamp,RK_H_TG_04,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_TG_04,Luzula_campestris,,+,,,
Reijerskamp,RK_H_TG_04,Cerastium_fontanum,,+,,,
Reijerskamp,RK_H_TG_04,Agrostis_capillaris,,1,,,
Reijerskamp,RK_H_TG_04,Corynephorus_canescens,,2a,,,
Reijerskamp,RK_H_TG_04,Hypericum_perforatum,,+,,,
Reijerskamp,RK_H_TG_04,Filago_minima,,1,,,
Reijerskamp,RK_H_TG_04,Rumex_acetosella,,2a,,,
Reijerskamp,RK_H_TG_04,Aira_caryophyllea,,2b,,,
Reijerskamp,RK_H_TG_04,Conyza_canadensis,,+,,,
Reijerskamp,RK_H_TG_04,Plantago_lanceolata,,1,,,
Reijerskamp,RK_H_TG_04,Hieracium_pilosella,,1,,,
Reijerskamp,RK_H_TG_04,Molinia_caerulea,,2a,,,
Reijerskamp,RK_H_TG_04,Achillea_millefolium,,+,,,
Reijerskamp,RK_H_TG_04,Trifolium_arvense,,+,,,
Reijerskamp,RK_H_TG_04,Jasione_montana,,+,,,
Reijerskamp,RK_H_TG_04,Vulpia_myuros,,2m,,,
Reijerskamp,RK_H_TG_04,Senecio_inaequidens,,+,,,
Reijerskamp,RK_H_TG_04,Dactylis_glomerata,,+,,,
Reijerskamp,RK_H_TG_04,Veronica_chamaedrys,,+,,,
Reijerskamp,RK_H_TG_04,Veronica_officinalis,,+,,,
Reijerskamp,RK_H_TG_04,Hieracium_praealtum,,r,,,
Reijerskamp,RK_H_TG_05,Anthoxanthum_odoratum,,+,,,
Reijerskamp,RK_H_TG_05,Hypericum_perforatum,,2a,,,
Reijerskamp,RK_H_TG_05,Filago_minima,,1,,,
Reijerskamp,RK_H_TG_05,Rumex_acetosella,,1,,,
Reijerskamp,RK_H_TG_05,Aira_caryophyllea,,2a,,,
Reijerskamp,RK_H_TG_05,Ornithopus_perpusillus,,+,,,
Reijerskamp,RK_H_TG_05,Conyza_canadensis,,+,,,
Reijerskamp,RK_H_TG_05,Plantago_lanceolata,,1,,,
Reijerskamp,RK_H_TG_05,Jacobaea_vulgaris,,+,,,
Reijerskamp,RK_H_TG_05,Hieracium_laevigatum,,+,,,
Reijerskamp,RK_H_TG_05,Hieracium_pilosella,,2b,,,
Reijerskamp,RK_H_TG_05,Achillea_millefolium,,+,,,
Reijerskamp,RK_H_TG_05,Trifolium_arvense,,2b,,,
Reijerskamp,RK_H_TG_05,Juncus_tenuis,,r,,,
Reijerskamp,RK_H_TG_05,Jasione_montana,,1,,,
Reijerskamp,RK_H_TG_05,Trifolium_campestre,,3,,,
Reijerskamp,RK_H_TG_05,Vulpia_myuros,,1,,,
Reijerskamp,RK_H_TG_05,Senecio_inaequidens,,+,,,
Reijerskamp,RK_H_TG_05,Anthemis_arvensis,,r,,,
Reijerskamp,RK_H_T_01,Holcus_lanatus,,+,,,
Reijerskamp,RK_H_T_01,Trifolium_dubium,,+,,,
Reijerskamp,RK_H_T_01,Anthoxanthum_odoratum,,1,,,
Reijerskamp,RK_H_T_01,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_T_01,Cerastium_fontanum,,1,,,
Reijerskamp,RK_H_T_01,Agrostis_capillaris,,2a,,,
Reijerskamp,RK_H_T_01,Corynephorus_canescens,,2a,,,
Reijerskamp,RK_H_T_01,Hypericum_perforatum,,2a,,,
Reijerskamp,RK_H_T_01,Filago_minima,,1,,,
Reijerskamp,RK_H_T_01,Rumex_acetosella,,2a,,,
Reijerskamp,RK_H_T_01,Aira_caryophyllea,,+,,,
Reijerskamp,RK_H_T_01,Conyza_canadensis,,+,,,
Reijerskamp,RK_H_T_01,Plantago_lanceolata,,2a,,,
Reijerskamp,RK_H_T_01,Jacobaea_vulgaris,,+,,,
Reijerskamp,RK_H_T_01,Hieracium_pilosella,,+,,,
Reijerskamp,RK_H_T_01,Achillea_millefolium,,r,,,
Reijerskamp,RK_H_T_01,Jasione_montana,,+,,,
Reijerskamp,RK_H_T_01,Vulpia_myuros,,1,,,
Reijerskamp,RK_H_T_01,Senecio_inaequidens,,+,,,
Reijerskamp,RK_H_T_01,Anthemis_arvensis,,+,,,
Reijerskamp,RK_H_T_01,Genista_pilosa,,2b,,,
Reijerskamp,RK_H_T_02,Anthoxanthum_odoratum,,1,,,
Reijerskamp,RK_H_T_02,Betula_pubescens,,+,,,
Reijerskamp,RK_H_T_02,Luzula_campestris,,1,,,
Reijerskamp,RK_H_T_02,Agrostis_capillaris,,1,,,
Reijerskamp,RK_H_T_02,Calluna_vulgaris,,2a,,,
Reijerskamp,RK_H_T_02,Corynephorus_canescens,,2a,,,
Reijerskamp,RK_H_T_02,Hypericum_perforatum,,2a,,,
Reijerskamp,RK_H_T_02,Filago_minima,,+,,,
Reijerskamp,RK_H_T_02,Rumex_acetosella,,+,,,
Reijerskamp,RK_H_T_02,Aira_caryophyllea,,2a,,,
Reijerskamp,RK_H_T_02,Conyza_canadensis,,+,,,
Reijerskamp,RK_H_T_02,Plantago_lanceolata,,+,,,
Reijerskamp,RK_H_T_02,Jacobaea_vulgaris,,+,,,
Reijerskamp,RK_H_T_02,Hieracium_pilosella,,2b,,,
Reijerskamp,RK_H_T_02,Trifolium_arvense,,2b,,,
Reijerskamp,RK_H_T_02,Vulpia_myuros,,1,,,
Reijerskamp,RK_H_T_02,Anthemis_arvensis,,+,,,
Reijerskamp,RK_H_T_02,Filago_vulgaris,,+,,,
Reijerskamp,RK_H_T_03,Anthoxanthum_odoratum,,1,,,
Reijerskamp,RK_H_T_03,Betula_pubescens,,+,,,
Reijerskamp,RK_H_T_03,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_T_03,Betula_pendula,,+,,,
Reijerskamp,RK_H_T_03,Luzula_campestris,,2a,,,
Reijerskamp,RK_H_T_03,Cerastium_fontanum,,+,,,
Reijerskamp,RK_H_T_03,Agrostis_capillaris,,+,,,
Reijerskamp,RK_H_T_03,Filago_minima,,+,,,
Reijerskamp,RK_H_T_03,Rumex_acetosella,,1,,,
Reijerskamp,RK_H_T_03,Aira_caryophyllea,,2m,,,
Reijerskamp,RK_H_T_03,Ornithopus_perpusillus,,r,,,
Reijerskamp,RK_H_T_03,Conyza_canadensis,,+,,,
Reijerskamp,RK_H_T_03,Plantago_lanceolata,,+,,,
Reijerskamp,RK_H_T_03,Jacobaea_vulgaris,,+,,,
Reijerskamp,RK_H_T_03,Hieracium_pilosella,,3,,,
Reijerskamp,RK_H_T_03,Achillea_millefolium,,1,,,
Reijerskamp,RK_H_T_03,Trifolium_arvense,,+,,,
Reijerskamp,RK_H_T_03,Carex_pilulifera,,2b,,,
Reijerskamp,RK_H_T_04,Anthoxanthum_odoratum,,1,,,
Reijerskamp,RK_H_T_04,Betula_pubescens,,+,,,
Reijerskamp,RK_H_T_04,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_T_04,Betula_pendula,,+,,,
Reijerskamp,RK_H_T_04,Luzula_campestris,,+,,,
Reijerskamp,RK_H_T_04,Cerastium_fontanum,,+,,,
Reijerskamp,RK_H_T_04,Agrostis_capillaris,,+,,,
Reijerskamp,RK_H_T_04,Calluna_vulgaris,,2b,,,
Reijerskamp,RK_H_T_04,Pinus_sylvestris,,+,,,
Reijerskamp,RK_H_T_04,Aira_caryophyllea,,2m,,,
Reijerskamp,RK_H_T_04,Plantago_lanceolata,,+,,,
Reijerskamp,RK_H_T_04,Jacobaea_vulgaris,,r,,,
Reijerskamp,RK_H_T_04,Hieracium_pilosella,,3,,,
Reijerskamp,RK_H_T_04,Trifolium_arvense,,2a,,,
Reijerskamp,RK_H_T_04,Genista_pilosa,,2b,,,
Reijerskamp,RK_H_T_04,Carex_pilulifera,,2a,,,
Reijerskamp,RK_H_T_05,Anthoxanthum_odoratum,,+,,,
Reijerskamp,RK_H_T_05,Hypochaeris_radicata,,+,,,
Reijerskamp,RK_H_T_05,Betula_pendula,,+,,,
Reijerskamp,RK_H_T_05,Luzula_campestris,,1,,,
Reijerskamp,RK_H_T_05,Cerastium_fontanum,,+,,,
Reijerskamp,RK_H_T_05,Agrostis_capillaris,,1,,,
Reijerskamp,RK_H_T_05,Corynephorus_canescens,,2b,,,
Reijerskamp,RK_H_T_05,Hypericum_perforatum,,+,,,
Reijerskamp,RK_H_T_05,Filago_minima,,1,,,
Reijerskamp,RK_H_T_05,Rumex_acetosella,,+,,,
Reijerskamp,RK_H_T_05,Aira_caryophyllea,,1,,,
Reijerskamp,RK_H_T_05,Hieracium_pilosella,,2a,,,
Reijerskamp,RK_H_T_05,Trifolium_arvense,,+,,,
Reijerskamp,RK_H_T_05,Vulpia_myuros,,+,,,
Reijerskamp,RK_H_T_05,Senecio_inaequidens,,+,,,
Reijerskamp,RK_H_T_05,Anthemis_arvensis,,+,,,
Reijerskamp,RK_H_T_05,Genista_pilosa,,2a,,,
Reijerskamp,RK_H_T_05,Spergularia_rubra,,+,,,
Schraallanden de Meije,SM_B_M_01,Carex_nigra,,2b,,,
Schraallanden de Meije,SM_B_M_01,Eriophorum_angustifolium,,+,,,
Schraallanden de Meije,SM_B_M_01,Succisa_pratensis,,+,,,
Schraallanden de Meije,SM_B_M_01,Anthoxanthum_odoratum,,2m,,,
Schraallanden de Meije,SM_B_M_01,Cirsium_dissectum,,2b,,,
Schraallanden de Meije,SM_B_M_01,Juncus_effusus,,+,,,
Schraallanden de Meije,SM_B_M_01,Potentilla_erecta,,2a,,,
Schraallanden de Meije,SM_B_M_01,Cirsium_palustre,,2a,,,
Schraallanden de Meije,SM_B_M_01,Agrostis_stolonifera,,2m,,,
Schraallanden de Meije,SM_B_M_01,Molinia_caerulea,,3,,,
Schraallanden de Meije,SM_B_M_02,Carex_panicea,,2b,,,
Schraallanden de Meije,SM_B_M_02,Eriophorum_angustifolium,,+,,,
Schraallanden de Meije,SM_B_M_02,Anthoxanthum_odoratum,,2a,,,
Schraallanden de Meije,SM_B_M_02,Juncus_effusus,,+,,,
Schraallanden de Meije,SM_B_M_02,Potentilla_erecta,,+,,,
Schraallanden de Meije,SM_B_M_02,Carex_echinata,,+,,,
Schraallanden de Meije,SM_B_M_02,Lysimachia_vulgaris,,+,,,
Schraallanden de Meije,SM_B_M_02,Danthonia_decumbens,,+,,,
Schraallanden de Meije,SM_B_M_02,Agrostis_stolonifera,,2m,,,
Schraallanden de Meije,SM_B_M_02,Molinia_caerulea,,3,,,
Schraallanden de Meije,SM_B_M_02,Carex_nigra,,2a,,,
Schraallanden de Meije,SM_B_M_02,Comarum_palustre,,2a,,,
Schraallanden de Meije,SM_B_M_03,Eriophorum_angustifolium,,+,,,
Schraallanden de Meije,SM_B_M_03,Potentilla_erecta,,+,,,
Schraallanden de Meije,SM_B_M_03,Molinia_caerulea,,5,,,
Schraallanden de Meije,SM_B_M_03,Gentiana_pneumonanthe,,1,,,
Schraallanden de Meije,SM_B_M_03,Erica_tetralix,,+,,,
Schraallanden de Meije,SM_B_M_04,Carex_panicea,,3,,,
Schraallanden de Meije,SM_B_M_04,Eriophorum_angustifolium,,1,,,
Schraallanden de Meije,SM_B_M_04,Succisa_pratensis,,+,,,
Schraallanden de Meije,SM_B_M_04,Cirsium_dissectum,,2a,,,
Schraallanden de Meije,SM_B_M_04,Juncus_effusus,,+,,,
Schraallanden de Meije,SM_B_M_04,Danthonia_decumbens,,+,,,
Schraallanden de Meije,SM_B_M_04,Agrostis_stolonifera,,2m,,,
Schraallanden de Meije,SM_B_M_04,Molinia_caerulea,,4,,,
Schraallanden de Meije,SM_B_M_04,Gentiana_pneumonanthe,,1,,,
Schraallanden de Meije,SM_B_M_05,Eriophorum_angustifolium,,1,,,
Schraallanden de Meije,SM_B_M_05,Succisa_pratensis,,2a,,,
Schraallanden de Meije,SM_B_M_05,Anthoxanthum_odoratum,,2m,,,
Schraallanden de Meije,SM_B_M_05,Juncus_effusus,,+,,,
Schraallanden de Meije,SM_B_M_05,Potentilla_erecta,,2a,,,
Schraallanden de Meije,SM_B_M_05,Lysimachia_vulgaris,,+,,,
Schraallanden de Meije,SM_B_M_05,Centaurea_jacea,,+,,,
Schraallanden de Meije,SM_B_M_05,Agrostis_stolonifera,,2m,,,
Schraallanden de Meije,SM_B_M_05,Molinia_caerulea,,4,,,
Schraallanden de Meije,SM_B_M_05,Carex_nigra,,3,,,
Koolmansdijk,KD_B_R_01,Carex_panicea,,3,,,
Koolmansdijk,KD_B_R_01,Juncus_articulatus,,2b,,,
Koolmansdijk,KD_B_R_01,Lotus_pedunculatus,,+,,,
Koolmansdijk,KD_B_R_01,Salix_cinerea,,+,,,
Koolmansdijk,KD_B_R_01,Succisa_pratensis,,1,,,
Koolmansdijk,KD_B_R_01,Betula_pubescens,,+,,,
Koolmansdijk,KD_B_R_01,Juncus_effusus,,+,,,
Koolmansdijk,KD_B_R_01,Prunella_vulgaris,,+,,,
Koolmansdijk,KD_B_R_01,Filipendula_ulmaria,,+,,,
Koolmansdijk,KD_B_R_01,Lythrum_salicaria,,+,,,
Koolmansdijk,KD_B_R_01,Potentilla_erecta,,+,,,
Koolmansdijk,KD_B_R_01,Juncus_acutiflorus,,2a,,,
Koolmansdijk,KD_B_R_01,Alnus_glutinosa,,r,,,
Koolmansdijk,KD_B_R_01,Ranunculus_acris,,+,,,
Koolmansdijk,KD_B_R_01,Phragmites_australis,,1,,,
Koolmansdijk,KD_B_R_01,Equisetum_palustre,,1,,,
Koolmansdijk,KD_B_R_01,Danthonia_decumbens,,1,,,
Koolmansdijk,KD_B_R_01,Molinia_caerulea,,2b,,,
Koolmansdijk,KD_B_R_01,Epipactis_palustris,,r,,,
Koolmansdijk,KD_B_R_01,Salix_repens,,+,,,
Koolmansdijk,KD_B_R_02,Carex_panicea,,2b,,,
Koolmansdijk,KD_B_R_02,Salix_cinerea,,+,,,
Koolmansdijk,KD_B_R_02,Succisa_pratensis,,1,,,
Koolmansdijk,KD_B_R_02,Galium_palustre,,+,,,
Koolmansdijk,KD_B_R_02,Filipendula_ulmaria,,+,,,
Koolmansdijk,KD_B_R_02,Lythrum_salicaria,,+,,,
Koolmansdijk,KD_B_R_02,Potentilla_erecta,,+,,,
Koolmansdijk,KD_B_R_02,Hydrocotyle_vulgaris,,2m,,,
Koolmansdijk,KD_B_R_02,Juncus_acutiflorus,,3,,,
Koolmansdijk,KD_B_R_02,Alnus_glutinosa,,+,,,
Koolmansdijk,KD_B_R_02,Ranunculus_acris,,+,,,
Koolmansdijk,KD_B_R_02,Phragmites_australis,,1,,,
Koolmansdijk,KD_B_R_02,Equisetum_palustre,,+,,,
Koolmansdijk,KD_B_R_02,Lysimachia_vulgaris,,1,,,
Koolmansdijk,KD_B_R_02,Centaurea_jacea,,+,,,
Koolmansdijk,KD_B_R_02,Danthonia_decumbens,,+,,,
Koolmansdijk,KD_B_R_02,Molinia_caerulea,,2b,,,
Koolmansdijk,KD_B_R_02,Epipactis_palustris,,+,,,
Koolmansdijk,KD_B_R_03,Carex_panicea,,2b,,,
Koolmansdijk,KD_B_R_03,Succisa_pratensis,,+,,,
Koolmansdijk,KD_B_R_03,Anthoxanthum_odoratum,,+,,,
Koolmansdijk,KD_B_R_03,Juncus_effusus,,+,,,
Koolmansdijk,KD_B_R_03,Betula_pendula,,+,,,
Koolmansdijk,KD_B_R_03,Potentilla_erecta,,+,,,
