Tube_ID,Plot_ID,depth,pH,Comments
26,BK_B_TG2_01,0,5.6,
27,SM_B_M_01,0,4.85,
28,SM_B_M_02,1,4.74,
29,WW_B_R_01,0,5.53,
30,WW_B_R_04,1,6.74,"Very tough, left a big chunk"
31,SV_B_TG_02,0,5.96,
32,SV_B_TG_03,0,6.2,
33,SV_B_TG_05,0,5.14,
34,SV_B_TG_01,1,6.52,
35,SV_B_TG_04,1,6.91,
1,AS_H_T_02,0,5.11,
2,AS_H_T_03,1,5.79,
3,AS_H_T_04,0,5.75,
4,VV_B_M_01,0,8.11,
5,VV_B_M_01,1,8.24,Error; half 0-10cm (in bag)
6,VV_B_M_02,0,5.98,
7,VV_B_M_02,1,6.15,
8,VV_B_M_03,0,7.92,
9,VV_B_M_03,1,8.19,
10,VV_B_M_04,1,5.04,
11,KD_B_R_05,1,5.7,
12,KD_B_R_04,0,5.51,
13,BK_B_TG_02,1,7.27,
14,BK_B_TG_03,0,6.89,
15,BK_B_TG_01,0,7.91,
16,BK_B_TG_05,0,7.93,
17,BK_B_TG2_01,1,6.31,
18,BK_B_TG2_02,0,5.81,
19,SB_B_TG_02,0,6.08,
20,SB_B_TG_03,0,5.96,
21,SB_B_TG_03,1,6.47,
22,SB_B_TG_05,0,6.23,
23,SB_B_TG_05,1,6.66,
24,WZ_B_TG_03,0,6.17,Barely enough; used bigger pieces because soil was very tough
25,WZ_B_TG_01,0,6.45,
1,BM_B_R_01,0,5.45,
2,BM_B_R_01,1,5.67,
3,BH_B_TG_04,0,5.58,
4,BH_B_TG_05,0,5.29,
5,BK_B_T_01,1,6.97,
6,BK_B_T_05,1,7.03,"Very tough, left a piece in the bag"
7,SH_B_T_01,1,5.82,
8,SH_B_T_02,0,5.6,
9,SH_B_T_03,0,5.7,
10,SH_B_T_05,1,5.88,
11,SM_B_M_04,0,4.4,"Very tough, used big pieces"
12,SM_B_M_03,1,4.4,"Very tough, used big pieces"
13,SM_B_M_05,1,4.55,"Very tough, used big pieces"
14,KD_B_R_01,0,6.5,
15,KD_B_R_03,0,5.55,
16,LS_B_R_02,0,4.81,
17,LS_B_R_02,1,5.16,
18,LS_B_R_03,0,4.9,
19,LS_B_R_04,0,4.78,
20,LS_B_R_04,1,4.96,
21,LM_B_T_02,1,5.57,
22,LM_B_T_05,1,7.28,
23,HB_B_TG_02,1,7.18,
24,HB_B_TG_03,1,7.36,
25,HB_B_TG_04,1,7.65,
26,BK_B_TG_02,0,6.9,
27,BK_B_TG_03,1,7.67,
28,BK_B_TG_05,1,8.15,
29,BK_B_R_01,1,7.44,
30,BK_B_R_02,0,5.41,
31,BK_B_R_05,0,5.88,
32,BK_B_R_05,1,6.97,
33,GP_B_T_01,0,6.38,
34,GP_B_T_03,0,5.52,
35,GP_B_T_03,1,5.67,
1,VV_B_M_05,0,5.5,
2,VV_B_M_05,1,5.65,
3,WV_B_T_01,1,5.31,
4,WV_B_T_04,1,5.28,
5,KD_B_R_02,1,7.15,
6,KD_B_R_05,0,5.29,
7,BH_B_TG_03,1,4.75,"Very tough, big chunks"
8,BH_B_TG_04,1,3.98,
9,BH_B_TG_02,0,3.24,
10,BK_B_TG2_05,0,4.93,
11,BK_B_TG2_03,0,4.94,
12,BK_B_TG2_03,1,5.39,
13,BK_B_TG2_04,1,4.99,
14,SV_B_R_01,1,6.68,
15,SV_B_R_02,0,4.44,
16,SV_B_R_04,1,4.77,
17,HB_B_TG_01,1,7.17,
18,HB_B_TG_05,1,7.76,
19,HB_B_TG_05,0,8.03,
20,HB_B_TG_02,0,6.75,
21,BK_B_T_03,0,7.06,
22,BK_B_T_04,0,5.75,
23,BK_B_T_02,1,7.04,
24,WZ_B_TG_03,1,6.09,
25,WZ_B_TG_02,1,5.41,
26,WZ_B_TG_02,0,5.86,
27,WZ_B_TG_05,0,5.33,"5g instead of 10g, not enough soil. Still used 25mL, otherwise the suspension was too thick; still very thick suspension"
28,WW_B_R_03,0,5.14,
29,WW_B_R_03,1,5.69,
30,WW_B_R_01,1,7.58,
31,WW_B_R_02,0,5.07,
32,LS_B_R_05,0,4.65,
33,BK_B_R_04,1,6.73,
34,BK_B_TG_01,1,7.89,
35,WZ_B_TG_05,1,5.51,"5g instead of 10g, not enough soil. Still used 25mL, otherwise the suspension was too thick"
1,SM_B_M_02,0,4.29,"Very tough, big chunks"
2,SM_B_M_05,0,4.71,"Very tough, big chunks"
3,SM_B_M_01,1,4.8,"Very tough, big chunks"
4,SM_B_M_04,1,4.59,"Very tough, big chunks"
5,BK_B_R_01,0,6.4,
6,LM_B_T_02,0,4.9,
7,LM_B_T_04,1,7.89,
8,BK_B_R_03,0,5.64,
9,BK_B_R_04,0,5.61,
10,BM_B_R_02,0,6.3,
11,BM_B_R_03,0,5.55,"Very tough, big chunks"
12,BM_B_R_03,1,5.98,
13,BM_B_R_04,1,6.22,
14,BM_B_R_04,0,5.98,
15,WZ_B_TG_04,0,5.89,"9.8 g, not enough soil"
16,WZ_B_TG_04,1,6.01,
17,SH_B_T_01,0,5.54,
18,LS_B_R_01,1,5.14,
19,SB_B_TG_01,1,6.43,
20,SV_B_TG_03,1,6.74,
21,GG_B_TG_05,0,8.38,
22,GG_B_TG_01,0,5.88,
23,GG_B_TG_02,1,6.04,
24,GP_B_T_01,1,6.51,
25,GP_B_T_02,1,6.25,
26,GP_B_T_02,0,5.92,
27,GP_B_T_04,0,6.55,
28,GP_B_T_04,1,6.57,
1,RK_H_TG_05,0,5.91,
2,AS_H_T_03,0,5.88,
3,AA_H_T_02,0,5.4,
4,AA_H_T_05,0,5.31,
5,AA_H_T_05,1,5.79,
6,DZ_H_R_02,1,5.85,
7,DZ_H_R_05,1,5.68,
8,DV_H_R_01,1,3.98,
9,DV_H_R_03,1,4.33,
10,DV_H_R_04,1,4.31,
11,DV_H_R_05,1,4.77,
