site_ID,grassland_type,restoration_measure,gen_sp,species_richness,cover_%,shannon_index,depth,pH
SB_TG_03,B,TG,Holcus_lanatus,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Holcus_lanatus,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Lotus_pedunculatus,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Lotus_pedunculatus,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Succisa_pratensis,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Succisa_pratensis,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Anthoxanthum_odoratum,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Anthoxanthum_odoratum,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Hypochaeris_radicata,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Hypochaeris_radicata,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Prunella_vulgaris,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Prunella_vulgaris,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Silene_floscuculi,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Silene_floscuculi,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Potentilla_erecta,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Potentilla_erecta,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Ranunculus_acris,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Ranunculus_acris,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Calluna_vulgaris,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Calluna_vulgaris,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Carex_pallescens,17,8,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Carex_pallescens,17,8,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Juncus_effusus,17,37,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Juncus_effusus,17,37,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Plantago_lanceolata,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Plantago_lanceolata,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Carex_ovalis,17,8,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Carex_ovalis,17,8,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Jacobaea_vulgaris,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Jacobaea_vulgaris,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Centaurea_jacea,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Centaurea_jacea,17,2,2.0946571980009305,1,6.47
SB_TG_03,B,TG,Quercus_robur,17,2,2.0946571980009305,0,5.96
SB_TG_03,B,TG,Quercus_robur,17,2,2.0946571980009305,1,6.47
SB_TG_04,B,TG,Holcus_lanatus,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Holcus_lanatus,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Lotus_pedunculatus,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Lotus_pedunculatus,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Salix_cinerea,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Salix_cinerea,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Succisa_pratensis,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Succisa_pratensis,18,2,2.3660145381999915,1,6.48
